"","zones","regions","Date","Population résidente par zone","Taux d'urbanisation","Repartition des ménages par zones","Taille des ménages"
"366","Rual","Kédougou",2008,102078,NA,30564.5132772295,3.24548939034771
"367","Rual","Kédougou",2009,104704,NA,31588.5205145279,3.24031221337115
"368","Rual","Kédougou",2010,107226,NA,32646.8352120017,3.23510086774646
"369","Rual","Kédougou",2011,109613,NA,33740.6067773708,3.22983422300663
"370","Rual","Kédougou",2012,111828,NA,34871.0231271252,3.11315749481279
"371","Rual","Kédougou",2013,113829,NA,13660,8.33301610541728
"372","Rual","Kédougou",2014,115701,NA,13884.648551775,8.33301610541728
"373","Rual","Kédougou",2015,119211,NA,14305.8645863532,8.33301610541728
"374","Rual","Kédougou",2016,122677,NA,14721.8004199281,8.33301610541728
"375","Rual","Kédougou",2017,126257,NA,15151.4167742842,8.33301610541728
"376","Rual","Kédougou",2018,130137,NA,15617.0344991171,8.33301610541728
"377","Rual","Kolda",2000,679578,NA,80175.6096002505,8.5
"378","Rual","Kolda",2001,693404,NA,79204.2222222222,9
"379","Rual","Kolda",2002,707472,NA,64546,10.9
"380","Rual","Kolda",2003,721257.748425556,NA,63542.3232293585,10.7941544768618
"381","Rual","Kolda",2004,736236.648872422,NA,62554.2534221217,10.6958248677531
"382","Rual","Kolda",2005,751492.089416475,NA,61581.5478932801,10.5980432079668
"383","Rual","Kolda",2006,767027.700549926,NA,60623.9677315252,10.5008068940332
"384","Rual","Kolda",2007,782847.36083835,NA,59681.277740569,10.4041133339009
"385","Rual","Kolda",2008,431160,NA,58753.2463813769,10.3079599468886
"386","Rual","Kolda",2009,442873,NA,57839.6457152974,10.2123441636376
"387","Rual","Kolda",2010,454888,NA,56940.2513480774,10.1172634260649
"388","Rual","Kolda",2011,467213,NA,56054.8423747475,10.0227151873154
"389","Rual","Kolda",2012,479854,NA,55183.201325364,9.05484600802098
"390","Rual","Kolda",2013,492818,NA,48302,10.2028487433233
"391","Rual","Kolda",2014,501775,NA,49179.892069689,10.2028487433233
"392","Rual","Kolda",2015,513755,NA,50354.0739380461,10.2028487433233
"393","Rual","Kolda",2016,526850,NA,51637.5390103446,10.2028487433233
"394","Rual","Kolda",2017,539633,NA,52890.4243879079,10.2028487433233
"395","Rual","Kolda",2018,552805,NA,54181.4363720481,10.2028487433233
"396","Rual","Louga",2000,531563,NA,49865.5069218146,8.7
"397","Rual","Louga",2001,542103,NA,44595,10
"398","Rual","Louga",2002,552819,NA,51997,10.6317479854607
"399","Rual","Louga",2003,564766,NA,53683.7968668582,10.5014496491769
"400","Rual","Louga",2004,575903,NA,55425.3138843028,10.3764469244958
"401","Rual","Louga",2005,587223,NA,57223.3261889487,10.2528372776364
"402","Rual","Louga",2006,598727,NA,59079.6665033269,10.1306103535161
"403","Rual","Louga",2007,610416,NA,60996.2270039873,10.0097395529538
